"ITEM","LOC","SELLING_UNIT_RETAIL","LOCAL_SHORT_DESC","PACKAGE_SIZE","PACKAGE_UOM","CATEGORIA","CATEGORIA_NOMBRE"
"0001271026683","34424","35.57","REMOVEDOR ADHESIVO","1","EA","9000","Consumo Interno"
"0001280026704","34424","23.76","SANITIZANTE GRAL","1","EA","9000","Consumo Interno"
"0001280026735","34424","35.33","Jabon para manos","1","EA","9000","Consumo Interno"
"0005","34424","9.9","BAGUETTE","1","EA","132","Panera"
"011848126319","34424","18","Anita Furiosa 300 ml","1","EA","169","Salsas Botaneras"
"011848245508","34424","28","Anita Chil polvo 150","150","G","169","Salsas Botaneras"
"011848245621","34424","16","Anita Haba Vde 15","1","EA","319","Salsas Abarrotes"
"011848245638","34424","16","Salsa habanera Ro","1","EA","319","Salsas Abarrotes"
"012388000961","34424","24.5","LIRIO JBN DERMA 200G","1","EA","231","Jabones de tocador"
"012388000978","34424","24.5","LIRIO JBN NEUTR 200G","200","G","231","Jabones de tocador"
"012388003207","34424","17.5","BoldAromasdePrim850g","1","EA","221","Detergentes Ropa"
"012800185078","34424","45","RAYO PILA ALCA AA 4P","4","EA","214","Energia"
"012800389353","34424","45","RAYO PILA ALCA AAA 4","4","EA","214","Energia"
"012800525348","34424","33","Pila AAA Carbon c","4","EA","214","Energia"
"012800525416","34424","33","Pila AA Carbon c/","4","EA","214","Energia"
"013000001243","34424","25","Heinz Ketchup 397g","397","G","191","Aderezos y Condiment"
"013117000702","34424","227.26","BBTIPS ET 4 40 PZ","40","EA","229","Cuidado del bebe"
"013117000719","34424","241.16","BBTIPS ET 5 40 PZ","40","EA","229","Cuidado del bebe"
"013117011180","34424","149.6","CHICOLASTIC ET 4 40P","1","EA","229","Cuidado del bebe"
"013117011531","34424","180.16","CHICOLASTIC ET 6 40P","4","PCS","229","Cuidado del bebe"
"013117011753","34424","161.07","CHICOLASTIC ET 5 40P","1","EA","229","Cuidado del bebe"
"013117019971","34424","252.72","BBTIPS ET 6 40 PZ","40","EA","229","Cuidado del bebe"
"013117023299","34424","162.29","KIDDIES ET 3 40 PZ","1","EA","229","Cuidado del bebe"
"013117023305","34424","187.82","KIDDIES ET 4 40 PZ","1","EA","229","Cuidado del bebe"
"013117023312","34424","206.83","KIDDIES ET 5 40 PZ","1","EA","229","Cuidado del bebe"
"013117029000","34424","99.44","KIDDIES ET 1 28 PZ","6","PCS","229","Cuidado del bebe"
"013117029284","34424","232.64","KIDDIES ET 6 40 PZ","40","PCS","229","Cuidado del bebe"
