"ITEM","LOC","SELLING_UNIT_RETAIL","LOCAL_SHORT_DESC","PACKAGE_SIZE","PACKAGE_UOM","CATEGORIA","CATEGORIA_NOMBRE"
"012388000961","54520","24.5","Jabon Lirio 200 g","1","EA","231","Jabones de tocador"
"012388000978","54520","24.5","JabonLirioNeutro200g","200","G","231","Jabones de tocador"
"012800525348","54520","28.5","Pila AAA Carbon c","4","EA","214","Energia"
"012800525416","54520","28.5","Pila AA Carbon c/","4","EA","214","Energia"
"013000001243","54520","25","Catsup Heinz 397 gr","397","G","191","Aderezos y Condiment"
"013117000702","54520","226.26","BBTIPS ET 4","40","EA","229","Cuidado del bebe"
"013117000719","54520","240.16","BBTIPS ET 5","40","EA","229","Cuidado del bebe"
"013117011531","54520","180.16","CLASSIC ET6 40","4","PCS","229","Cuidado del bebe"
"013117011753","54520","161.07","CLASSIC ET5 40","1","EA","229","Cuidado del bebe"
"013117019971","54520","251.72","BBTIPS ET 6","40","EA","229","Cuidado del bebe"
"013117023299","54520","167.29","KIDDIES ET3 40","1","EA","229","Cuidado del bebe"
"013117023305","54520","192.82","KIDDIES ET4 40","1","EA","229","Cuidado del bebe"
"013117023312","54520","201.83","KIDDIES ET5 40","1","EA","229","Cuidado del bebe"
"013117029284","54520","227.64","KIDDIES ET6 40","40","PCS","229","Cuidado del bebe"
"014800515329","54520","28.5","Clamato 473m Tom Alm","473","ML","271","Jugo Tomate y Almeja"
"014800515336","54520","47","Clamato motts 946 ml","946","ML","271","Jugo Tomate y Almeja"
"021136010480","54520","28.5","Agua Topo Chico1.5lt","1500","ML","315","MezcladoresRefre"
"021136010541","54520","19","A mineral Topo600ml","591","ML","315","MezcladoresRefre"
"022110079806","54520","35","Hubba Bubba Original","56.7","G","254","Chicles"
"036731321008","54520","32","GatoradeNaranja1lt","1","L","264","Isotonicos"
"036731326003","54520","32","GatoradePonche1Lt","1","L","264","Isotonicos"
"037836041273","54520","53","Hinds crema 400ml","1","PCS","227","Belleza e higiene"
"038000846731","54520","23","Pringles Original 37","37","G","163","Frituras"
"038629002068","54520","13.16","Marianitas Coco 185g","185","G","152","Galleta Dulce"
"04056704","54520","26","Choc. MMs 30g bote","30","G","255","Chocolate Golosina"
"041789001857","54520","15","SopaMaruInsLunCamLim","64","G","288","Comida Deshidratada"
"041789001864","54520","15","SOPMARINSLUNCAMLIHAB","64","G","288","Comida Deshidratada"
"041789001918","54520","15","SopaMaruInsLunPollo","64","G","288","Comida Deshidratada"
"041789001925","54520","15","SopaMaruInsLunCarRes","64","G","288","Comida Deshidratada"
"041789001956","54520","15","SopaMaruInsLunCam","1","EA","288","Comida Deshidratada"
"041789001987","54520","15","SOPMARINSLUNCAMPIQ","1","EA","288","Comida Deshidratada"
"041789002915","54520","7.5","MARUCHAN VARIEDAD 85","85","G","288","Comida Deshidratada"
"041789002960","54520","7.5","RamenMaruchCamHab","1","EA","288","Comida Deshidratada"
"041789002977","54520","7.5","MARUCHAN VARIEDAD 85","85","G","288","Comida Deshidratada"
"041789002984","54520","7.5","RamenMaruchCamPic","1","EA","288","Comida Deshidratada"
