"ITEM","LOC","SELLING_UNIT_RETAIL","LOCAL_SHORT_DESC","PACKAGE_SIZE","PACKAGE_UOM","CATEGORIA","CATEGORIA_NOMBRE"
"0001271026683","8967","35.57","REMOVEDOR ADHESIVO","1","EA","9000","Consumo Interno"
"0001280026704","8967","23.76","SANITIZANTE GRAL","1","EA","9000","Consumo Interno"
"0001280026735","8967","35.33","Jabon para manos","1","EA","9000","Consumo Interno"
"0005","8967","9.9","BAGUETTE","1","EA","132","Panera"
"011848126319","8967","18","Anita Furiosa 300 ml","1","EA","169","Salsas Botaneras"
"011848245508","8967","28","Anita Chil polvo 150","150","G","169","Salsas Botaneras"
"011848245621","8967","15","Anita Haba Vde 15","1","EA","319","Salsas Abarrotes"
"011848245638","8967","15","Salsa habanera Ro","1","EA","319","Salsas Abarrotes"
"012388000961","8967","24.5","LIRIO JBN DERMA 200G","1","EA","231","Jabones de tocador"
"012388000978","8967","24.5","LIRIO JBN NEUTR 200G","200","G","231","Jabones de tocador"
"012388003207","8967","17.5","BoldAromasdePrim850g","1","EA","221","Detergentes Ropa"
"012800185078","8967","39","RAYO PILA ALCA AA 4P","4","EA","214","Energia"
"012800389353","8967","39","RAYO PILA ALCA AAA 4","4","EA","214","Energia"
"012800525348","8967","28.5","Pila AAA Carbon c","4","EA","214","Energia"
"012800525416","8967","28.5","Pila AA Carbon c/","4","EA","214","Energia"
"013000001243","8967","25","Heinz Ketchup 397g","397","G","191","Aderezos y Condiment"
"013117000702","8967","226.26","BBTIPS ET 4 40 PZ","40","EA","229","Cuidado del bebe"
"013117000719","8967","240.16","BBTIPS ET 5 40 PZ","40","EA","229","Cuidado del bebe"
"013117011180","8967","149.6","CHICOLASTIC ET 4 40P","1","EA","229","Cuidado del bebe"
"013117011531","8967","180.16","CHICOLASTIC ET 6 40P","4","PCS","229","Cuidado del bebe"
"013117011753","8967","161.07","CHICOLASTIC ET 5 40P","1","EA","229","Cuidado del bebe"
"013117019971","8967","251.72","BBTIPS ET 6 40 PZ","40","EA","229","Cuidado del bebe"
"013117023299","8967","167.29","KIDDIES ET 3 40 PZ","1","EA","229","Cuidado del bebe"
"013117023305","8967","192.82","KIDDIES ET 4 40 PZ","1","EA","229","Cuidado del bebe"
"013117023312","8967","201.83","KIDDIES ET 5 40 PZ","1","EA","229","Cuidado del bebe"
"013117029000","8967","99.44","KIDDIES ET 1 28 PZ","6","PCS","229","Cuidado del bebe"
"013117029284","8967","227.64","KIDDIES ET 6 40 PZ","40","PCS","229","Cuidado del bebe"
"014800515329","8967","28.5","CLAMATO ALMEJA 473ML","473","ML","271","Jugo Tomate y Almeja"
"014800515336","8967","47","CLAMATO ALMEJA 946ML","946","ML","271","Jugo Tomate y Almeja"
"014800515343","8967","70","CLAMATO ALMEJA 1.89L","1890","ML","271","Jugo Tomate y Almeja"
"0158","8967","4.5","Pan Integra Espanola","1","EA","132","Panera"
"018804701139","8967","15","Icee gomi Cerez 50gr","50","G","257","Otras Golosinas"
"018804701351","8967","15","ICEE MORA 50G","50","G","257","Otras Golosinas"
"0208","8967","125","Rosca de Reyes 1 pz","1","EA","132","Panera"
"021136010480","8967","28.5","Topochico 1.5 lts","1500","ML","315","MezcladoresRefre"
"021136010541","8967","19","Topochi mineral 600m","591","ML","315","MezcladoresRefre"
"02201302","8967","2","Orbit 4P Fresa","5.3","G","254","Chicles"
"022110079806","8967","35","Hubba Bubba ORG 56g","56.7","G","254","Chicles"
"025046021697","8967","40","Duvalin 4 Sabores 12","276","G","257","Otras Golosinas"
"036731321008","8967","32","GATORADE NARANJ 1 L","1","L","264","Isotonicos"
"036731326003","8967","32","GATORADE PONCHE 1L","1","L","264","Isotonicos"
"037836041273","8967","53","Hinds crema 400ml","1","PCS","227","Belleza e higiene"
"038000846731","8967","23","Pringles Original 37","37","G","163","Frituras"
"038629001436","8967","6.5","Troyanas Choc 80g","80","G","152","Galleta Dulce"
"038629002068","8967","13.16","MODERN MARIANITS 185","185","G","152","Galleta Dulce"
"039465077807","8967","45","Encan Papas Sal 170g","170","G","163","Frituras"
"04056704","8967","26","M&M´S MINIS 30 GR","30","G","255","Chocolate Golosina"
"041789001857","8967","15","SopaMaruInsLunCamLim","64","G","288","Comida Deshidratada"
"041789001864","8967","15","SOPMARINSLUNCAMLIHAB","64","G","288","Comida Deshidratada"
"041789001918","8967","15","SopaMaruInsLunPollo","64","G","288","Comida Deshidratada"
"041789001925","8967","15","SopaMaruInsLunCarRes","64","G","288","Comida Deshidratada"
"041789001956","8967","15","SopaMaruInsLunCam","1","EA","288","Comida Deshidratada"
"041789001987","8967","15","SOPMARINSLUNCAMPIQ","1","EA","288","Comida Deshidratada"
"041789002915","8967","7.5","MARUCHAN VARIEDAD 85","85","G","288","Comida Deshidratada"
"041789002960","8967","7.5","RamenMaruchCamHab","1","EA","288","Comida Deshidratada"
"041789002977","8967","7.5","MARUCHAN VARIEDAD 85","85","G","288","Comida Deshidratada"
"041789002984","8967","7.5","RamenMaruchCamPic","1","EA","288","Comida Deshidratada"
"041789008016","8967","7.5","Ottima Arrabiat93.4g","1","EA","288","Comida Deshidratada"
"041789008030","8967","7.5","Maruc Ott Queso93.4g","1","EA","288","Comida Deshidratada"
"042743230511","8967","65","MEXICANO MAIZ BCO 3K","1","EA","192","Alimentos Envasados"
"0507","8967","76","JamonAbiertoCaducida","1","KG","244","Carnes Frias"
"058897093087","8967","96","Sustituto Corina ","1","EA","199","Leche"
"0606110315203","8967","20","Datos FP $20","1","EA","300","TiempoAireElectronic"
"0606110315227","8967","50","TAE FreedomPop $50","1","EA","300","TiempoAireElectronic"
"0606110315234","8967","100","TAE FreedomPop $100","1","EA","300","TiempoAireElectronic"
"0606110315241","8967","200","TAE FreedomPop $200","1","EA","300","TiempoAireElectronic"
"0606110315258","8967","120","Datos FP $120","1","EA","300","TiempoAireElectronic"
"0606110315265","8967","70","Plan Mini FP $70","1","EA","300","TiempoAireElectronic"
"0606110315272","8967","150","TAE FreedomPop $150","1","EA","300","TiempoAireElectronic"
"0614143200700","8967","30","TAE FreedomPop $30","1","EA","300","TiempoAireElectronic"
"0614143200717","8967","80","TAE FreedomPop $80","1","EA","300","TiempoAireElectronic"
"0616","8967","1.5","Choc a granel Kisses","1","EA","255","Chocolate Golosina"
"0671","8967","4","Bolillo 1 pz","1","EA","132","Panera"
"067238891190","8967","36.9","DOVE JBN HUMEC 135G","1","EA","231","Jabones de tocador"
"070662043103","8967","7.5","Nissin Ramen Camaron","85","G","288","Comida Deshidratada"
"070662140123","8967","12.5","NISSIN CAMARON PIC64","64","G","288","Comida Deshidratada"
"070662141229","8967","12.5","SopaNissCupNoodCamHa","64","G","288","Comida Deshidratada"
"070662242025","8967","12.5","SopaNissCupNoodCamBo","64","G","288","Comida Deshidratada"
"070662247150","8967","12.5","NISSIN INTE DIABLO64","64","G","288","Comida Deshidratada"
"070847035916","8967","40","Monster Energy 473ml","473","ML","263","Energeticos"
"074323096989","8967","9.5","Kranky ricol 40 gr","35","G","257","Otras Golosinas"
"07432354","8967","15","BUBULUBU 35 GR","35","G","257","Otras Golosinas"
"07501032909352","8967","55","Raid Casa y jardin","1","EA","223","Insecticid y venenos"
"076750172922","8967","0.01","BH - Xbox 200 2015","1","EA","156","Soluciones en tienda"
